tsne_x,tsne_y,method,family
11.219608,35.83186,Original,Original
18.729683,24.6003,Original,Original
31.551796,33.459328,Original,Original
40.347763,14.974522,Original,Original
42.582195,3.74724,Original,Original
48.37347,-9.326267,Original,Original
38.61668,-25.766369,Original,Original
20.53634,-35.52129,Original,Original
11.317802,-44.628418,Original,Original
1.5274929,-34.216675,Original,Original
-43.957294,-22.895067,Original,Original
-55.86083,-3.8972723,Original,Original
-29.661243,14.122798,Original,Original
-36.953217,26.66752,Original,Original
10.758329,10.715634,Original,Original
21.141912,8.967163,Original,Original
29.126904,-0.6419343,Original,Original
30.925476,-8.5700865,Original,Original
22.465384,-16.761559,Original,Original
9.948208,-18.85712,Original,Original
-2.874074,-18.557247,Original,Original
-18.344936,-5.9389787,Original,Original
-28.797224,-4.89608,Original,Original
-33.59995,-1.361304,Original,Original
-35.653706,6.1393623,Original,Original
-12.7071,5.4803658,Original,Original
-19.971928,27.891922,Original,Original
-18.609922,39.957397,Original,Original
-7.856504,46.957256,Original,Original
2.1378891,43.749702,Original,Original
11.221272,35.83676,Original,Original
19.064486,24.547337,Original,Original
31.558094,33.459103,Original,Original
40.352703,14.973556,Original,Original
42.69602,3.8309157,Original,Original
48.372482,-9.330084,Original,Original
38.616768,-25.767208,Original,Original
20.537096,-35.52143,Original,Original
11.309407,-44.640606,Original,Original
1.5215926,-34.216515,Original,Original
-43.953617,-22.89224,Original,Original
-55.867428,-3.8902395,Original,Original
-29.658514,14.123036,Original,Original
-36.92954,26.72538,Original,Original
10.75629,10.717979,Original,Original
21.14093,8.963403,Original,Original
29.102991,-0.64804715,Original,Original
30.781319,-8.553952,Original,Original
22.464666,-16.759544,Original,Original
10.055015,-19.079302,Original,Original
-2.8130658,-18.562235,Original,Original
-18.365978,-5.912153,Original,Original
-28.754484,-4.842335,Original,Original
-33.59537,-1.3370291,Original,Original
-35.644794,6.133109,Original,Original
-12.643673,5.7316513,Original,Original
-19.866348,27.779696,Original,Original
-18.594694,39.892868,Original,Original
-7.855177,46.949535,Original,Original
2.237745,43.72589,Original,Original
11.2199545,35.833714,Original,Original
18.731174,24.601694,Original,Original
31.552397,33.46015,Original,Original
40.34718,14.975197,Original,Original
42.580452,3.7449393,Original,Original
48.37429,-9.325479,Original,Original
38.616623,-25.766747,Original,Original
20.536629,-35.521194,Original,Original
11.321723,-44.630272,Original,Original
1.5264986,-34.216225,Original,Original
-43.953606,-22.893318,Original,Original
-55.86484,-3.8891056,Original,Original
-29.65568,14.122112,Original,Original
-36.9301,26.72467,Original,Original
10.755827,10.718747,Original,Original
21.140718,8.962944,Original,Original
29.102196,-0.6522842,Original,Original
30.777945,-8.554231,Original,Original
22.464725,-16.759111,Original,Original
10.054333,-19.079382,Original,Original
-2.8161025,-18.562641,Original,Original
-18.367105,-5.9133286,Original,Original
-28.754896,-4.8431644,Original,Original
-33.593918,-1.3384897,Original,Original
-35.64477,6.1330123,Original,Original
-12.643673,5.731855,Original,Original
-19.862358,27.768717,Original,Original
-18.592487,39.891403,Original,Original
-7.8550324,46.947605,Original,Original
2.170205,43.721268,Original,Original
11.21994,35.832275,Original,Original
18.729975,24.600014,Original,Original
31.55145,33.45931,Original,Original
40.34709,14.975655,Original,Original
42.58154,3.7388487,Original,Original
48.374187,-9.325334,Original,Original
38.61664,-25.766602,Original,Original
20.536518,-35.521317,Original,Original
11.321695,-44.63045,Original,Original
1.5269363,-34.216415,Original,Original
-43.957134,-22.895746,Original,Original
-55.862564,-3.8967366,Original,Original
-29.6594,14.122109,Original,Original
-36.95151,26.671638,Original,Original
10.757017,10.716088,Original,Original
21.14191,8.967133,Original,Original
29.126665,-0.64226896,Original,Original
30.976501,-8.567088,Original,Original
22.46567,-16.76123,Original,Original
9.944513,-18.862064,Original,Original
-2.8745565,-18.556923,Original,Original
-18.345558,-5.937237,Original,Original
-28.796965,-4.895098,Original,Original
-33.56688,-1.413582,Original,Original
-35.654556,6.139072,Original,Original
-12.707036,5.479839,Original,Original
-20.088606,27.447584,Original,Original
-18.830482,40.180027,Original,Original
-7.8548937,46.95791,Original,Original
2.1375768,43.75239,Original,Original
11.222533,35.83803,Original,Original
19.065557,24.54956,Original,Original
31.55857,33.459396,Original,Original
40.35383,14.973474,Original,Original
